日期,开盘价,收盘价,最高价,最低价,成交额,成交量,涨跌幅,涨跌额,涨跌率
20060508,1.5,1.5,1.5,1.5,100,10,0.00%,0,0.00%
20060516,1.65,1.65,1.65,1.65,10000,1000,0.00%,0.15,10.00%
20060522,1.62,1.62,1.62,1.62,500,50,0.00%,-0.03,-1.82%
20060601,3.06,3.06,3.06,3.06,50000,5000,0.00%,1.44,88.89%
20060612,1.615,1.615,1.615,1.615,400,40,0.00%,-1.445,-47.22%
20060615,3.78,3.78,3.78,3.78,100,10,0.00%,2.165,134.06%
20060619,1.98,1.98,1.98,1.98,5000,500,0.00%,-1.8,-47.62%
20060620,1.26,1.26,1.26,1.26,400,40,0.00%,-0.72,-36.36%
20060622,2.7,2.7,3.06,2.2,55200,5520,0.00%,1.44,114.29%
20060623,3.57,3.4,3.75,3.4,215900,21590,0.00%,0.7,25.93%
20060626,3.25,2.335,3.25,2.335,249400,24940,0.00%,-1.065,-31.32%
20060627,3.08,2.335,3.08,2.335,300200,30020,0.00%,0,0.00%
20060628,1.98,2.34,2.34,1.98,218100,21810,0.00%,0.005,0.21%
20060629,1.975,1.975,1.975,1.975,139300,13930,0.00%,-0.365,-15.60%
20060630,1.45,1.61,1.615,1.26,333300,33330,0.00%,-0.365,-18.48%
20060703,1.98,1.62,1.98,1.4,25300,2530,0.00%,0.01,0.62%
20060704,1.98,1.255,1.98,1.255,65200,6520,0.00%,-0.365,-22.53%
20060705,1.26,1.26,1.615,1.255,347000,34700,0.00%,0.005,0.40%
20060706,1.62,1.27,2.34,1.26,528100,52810,0.00%,0.01,0.79%
20060707,2.335,3.24,3.42,2.335,378200,37820,0.00%,1.97,155.12%
20060710,2.5,1.61,2.5,1.35,522100,52210,0.00%,-1.63,-50.31%
20060711,1.98,1.975,1.98,1.975,412200,41220,0.00%,0.365,22.67%
20060712,1.26,1.62,1.62,1.255,614800,61480,0.00%,-0.355,-17.97%
20060713,1.62,1.9,2.34,1.26,720200,72020,0.00%,0.28,17.28%
20060714,1.26,2.335,2.695,1.26,682100,68210,0.00%,0.435,22.89%
20060717,1.62,1.975,2.35,1.62,1171200,117120,0.00%,-0.36,-15.42%
20060718,2.34,5.1,6.66,2.34,686900,68690,0.00%,3.125,158.23%
20060719,5,4,6.66,4,313200,31320,0.00%,-1.1,-21.57%
20060720,3.055,1.615,5,1.615,1529100,152910,0.00%,-2.385,-59.62%
20060721,4.495,5.2,5.2,3.8,570000,57000,0.00%,3.585,221.98%
20060724,2.34,1.675,2.34,1.62,973200,97320,0.00%,-3.525,-67.79%
20060725,1.98,1.69,3.055,1.62,2083200,208320,0.00%,0.015,0.90%
20060726,3.055,1.985,3.07,1.97,1333300,133330,0.00%,0.295,17.46%
20060727,2.695,1.975,4.5,1.975,1687800,168780,0.00%,-0.01,-0.50%
20060728,2.335,1.26,2.335,1.26,1309400,130940,0.00%,-0.715,-36.20%
20060731,2.335,1.98,2.34,1.975,1741200,174120,0.00%,0.72,57.14%
20060801,2.335,1.26,2.34,1.255,1048700,104870,0.00%,-0.72,-36.36%
20060802,2.335,1.615,2.335,1.615,1051400,105140,0.00%,0.355,28.17%
20060803,1.975,2.335,2.5,1.975,571000,57100,0.00%,0.72,44.58%
20060804,2.335,1.975,2.34,1.975,1041300,104130,0.00%,-0.36,-15.42%
20060807,2.335,1.615,2.335,1.615,1166600,116660,0.00%,-0.36,-18.23%
20060808,2.335,1.62,2.34,1.615,1189900,118990,0.00%,0.005,0.31%
20060809,1.975,1.65,2.34,1.65,1098300,109830,0.00%,0.03,1.85%
20060810,2.34,5,5,2.335,1056300,105630,0.00%,3.35,203.03%
20060811,1.975,1.6,1.98,1.6,1051700,105170,0.00%,-3.4,-68.00%
20060814,2.335,1.78,2.335,1.62,1214400,121440,0.00%,0.18,11.25%
20060815,1.975,1.9,1.975,1.615,1768300,176830,0.00%,0.12,6.74%
20060816,2.33,1.615,2.33,1.615,1110800,111080,0.00%,-0.285,-15.00%
20060817,4,2.89,4.005,1.62,1378800,137880,0.00%,1.275,78.95%
20060818,2.335,1.62,2.335,1.61,864000,86400,0.00%,-1.27,-43.94%
20060821,2.335,1.26,2.335,1.26,1163800,116380,0.00%,-0.36,-22.22%
20060822,1.615,1.6,1.62,1.3,654600,65460,0.00%,0.34,26.98%
20060823,1.615,1.6,1.62,1.3,878200,87820,0.00%,0,0.00%
20060824,2.335,1.97,3.34,1.615,977600,97760,0.00%,0.37,23.12%
20060825,1.615,1.365,1.62,1.26,643900,64390,0.00%,-0.605,-30.71%
20060828,1.615,1.26,1.62,1.26,1381500,138150,0.00%,-0.105,-7.69%
20060829,1.615,1.625,1.975,1.615,1822300,182230,0.00%,0.365,28.97%
20060830,1.62,1.62,1.98,1.26,1631800,163180,0.00%,-0.005,-0.31%
20060831,5,5.905,6,5,1055600,105560,0.00%,4.285,264.51%
20060901,1.975,2.4,2.7,1.97,1070300,107030,0.00%,-3.505,-59.36%
20060904,2.7,2.335,2.7,1.975,781100,78110,0.00%,-0.065,-2.71%
20060905,1.98,1.26,1.985,1.26,757300,75730,0.00%,-1.075,-46.04%
20060906,1.615,1.26,1.98,1.15,1034100,103410,0.00%,0,0.00%
20060907,1.62,2.34,2.34,1.255,1376900,137690,0.00%,1.08,85.71%
20060908,2.34,1.975,2.96,1.975,370700,37070,0.00%,-0.365,-15.60%
20060911,1.975,1.98,1.98,1.62,730000,73000,0.00%,0.005,0.25%
20060912,1.615,1.2,1.98,1.15,443300,44330,0.00%,-0.78,-39.39%
20060913,2.335,2.63,3.05,2.335,194300,19430,0.00%,1.43,119.17%
20060914,2.2,1.975,3.06,1.975,765700,76570,0.00%,-0.655,-24.90%
